Product_Id,Rating,Review_Text,Helpfulness,B_Helpfulness
B015T0YLAA,1,Worst product i ever bought. When I was charging my phone suddenly some short circuit happened - power bank started to burn . I have charged only for 3 times . In 4th time it burnt - good thing is my apple iphone 5s got escaped from this . If something happened to that - then it would be even more worst review .What can I do for this burnt powerbank - will you repair or replace and give it - I want my power bank to work that's it,539,1
B015T0YLAA,4,"Ordered  : 2016-07-29Delivered  : 2016-08-05Time Taken for Delivery: 6 Days------------------------------------------------Pros:------------------------------------------------1. I bought this product for 1000Rs [2016-August] which is really an exceptional value for money product2. The build quality of the product is very good and seems very durable3. Charging power seems to be moderate (very high = better = to charge your powerbank as well as devices quickly)--------------Power Stats----------------Input Power:  10.5W [5V / 2.1A] - USB Micro-BOutput Power: USB Type A sockets power output below,Socket 1 - 5W [5V / 1A],Socket 2 - 10.5W [5V / 2.1A],Socket 3 - 10.5W [5V / 2.1A]To be honest, the charging power surely gonna drop if you charge 3 devices simultaneously, so to charge a device faster, try to charge a single device and use the 10.5W [5V / 2.1A] port.------------------------------------------------Cons:------------------------------------------------1. Lack of USB C port, as almost all the 2016 flagship devices as well as the new devices are conforming to the futuristic USB C standard.2. Charging power could had been better with 15W or 20W input to power bank.------------------------------------------------Charging Time:[practical time may vary slightly vary by 5 to 10%]------------------------------------------------------------Simple version:-------------DEVICE CHARGING TIME:If you charge your [2500 mAh / 12.5 Wh] smartphone from 0% to 100% using,5W port = takes 2.5 hours [12.5 Wh / 5W]10.5W port = takes around 1 hour 10 mins [12.5 Wh / 10.5W]POWERBANK CHARGING TIME:Time taken to charge your Power bank from 0% to 100% is 5 hours 15 mins [55 Wh / 10.5 W]---------Advanced version:-----------DEVICE CHARGING TIME:If you charge using the below port,5W port = Using 5W [Power] port for 1hr will charge your battery to 5Wh [Energy].10.5W port = Using 10.5W [Power] port for 1hr will charge your battery to 10.5Wh [Energy].Simple words, X Watt charging for 1 hour is called X Wh [Watt hour], X can be any number of watts.For Example, your phone battery energy is as below,2500 mAh = 2.5 Ah = 12.5 WhComing to the point, rough time taken to charge your device is as below,If you charge your phone [2500 mAh / 12.5 Wh] using,5W port = takes 2.5 hours [12.5 Wh / 5W]10.5W port = takes around 1 hour 10 mins [12.5 Wh / 10.5W]POWERBANK CHARGING TIME:Energy of Powerbank = 11,000 mAh = 11 Ah = 55 WhPowerbank input power [micro USB] = 10.5W [5V * 2.1A]Charging Powerbank at 10.5W for one hours gives 10.5 Wh [Energy] to Powerbank,So time taken to charge your Power bank from 0% to 100% is 5 hours 15 mins [55 Wh / 10.5 Wh]------------------------------------------------Additional information:------------------------------------------------*** V, A, Ah units are improper units while denoting power, so Watts [W] would be easier and universal unit for Power, and for Energy Ah or mAh is misleading unit as Voltage (mostly kept at 5V for mobile devices as constant), for Energy [Wh] is the proper and universal unit to use.Simple words, use [W] for Power and [Wh] for Energy.W = V * A10W = 5V * 2A11,000 mAh = 11 Ah = 11 Ah * 5V = 55 WhTo remember easier, suppose 5V is kept as constant considering mobile devices.1 Ah = 5 WhMy Nexus 6P battery storage energy is around ~3,500 mAh = 3.5 Ah = 17.5 WhAnd my Nexus 6P wall charging adapter output power is rated at 15W [5V / 3A].------------------------------------------------------------------------------------------------Please provide a Thumbs up if you got any info from my review.",135,1
B015T0YLAA,1,"Dont buy because am facing these problems Am receives used product Full heating problem Dont charge, dont gives power to devices dont on led lights look like, opened and screches in edges is vaste of money, please choose other",5,1
B015T0YLAA,1,It is the worst product that I have received from Amazon..DISSAPOINTED..!!!It stopped working in just 20 days !!,6,1
B015T0YLAA,4,"I frankly didn't have much expectations from this large-mAH powerbank at this price point. It charges portable devices fast but takes its own sweet time to recharge itself, so I leave it on overnight if I have to travel anywhere the next day. It can recharge an iPhone 6S from around 10 percent to full twice AND an iPad 4 once on a single charge.The included cable is extremely short and nearly unusable, but almost everyone should have a spare miniUSB -USB cable lying around. Although the rest of the body is solidly built and feels like it could last a while, the USB ports are tacky and there are times when you literally have to force the cable in or out. Other than these, it serves its job well, and I'm very satisfied with the product. Recommended if you're on a tight budget.",3,1
B015T0YLAA,1,"This charger worked well for the starting 5 days then after that it stopped working. Now , my charger is being charging from last 10 hours and still it is not charged half also , except one LED every LEDs are blinking. Feel cheated from Amazon.  Amazon should stop market & sale  such cheap product.",9,1
B015T0YLAA,5,"Fast delivery, light weight, charges my phone upto 3 times when fully charged. Thumbs up for this.",4,1
B015T0YLAA,5,Works awesome.... Gets charged fast with 2amp charger..... It charges my mobile almost 4 times.. I use Xperia z1 which has 3000mah battery... Very useful... Thank you intex,13,1
B015T0YLAA,1,"Worst Product. After 3-4 times of charging, it needs charging for never ending hours. After charging, it will charge your device for 10 Minutes and then it'll die gradually. Some kind of Chinois S***, scrap. Total wastage of money and of course time for checking whether its getting charged or not. Highly Disappointed with Amazon. Final verdict : Don't buy it !!!",55,1
B015T0YLAA,1,Cheated at Rs.899.Product is not good.Don't ever buy it.Fake charges only given by this power bank,55,1
